filename,link_text,url,format,effective,rule_number,source_page,source_page_url,rate_class,corpus
2011_All_Fee_Schedules.zip,2011 All Fee Schedules,https://ahca.myflorida.com/content/download/7048/file/2011_All_Fee_Schedules.zip,zip,2011,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2013_All_Fee_Schedules.zip,2013 All Fee Schedules (Version 2),https://ahca.myflorida.com/content/download/7049/file/2013_All_Fee_Schedules.zip,zip,2013,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2014_All_Fee_Schedules.zip,2014 All Fee Schedules,https://ahca.myflorida.com/content/download/7050/file/2014_All_Fee_Schedules.zip,zip,2014,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2015_All_Fee_Schedules.zip,2015 All Fee Schedules,https://ahca.myflorida.com/content/download/7051/file/2015_All_Fee_Schedules.zip,zip,2015,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2016_All_Fee_Schedules.zip,2016 All Fee Schedules,https://ahca.myflorida.com/content/download/7052/file/2016_All_Fee_Schedules.zip,zip,2016,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2017_All_Fee_Schedules.zip,2017 All Fee Schedules,https://ahca.myflorida.com/content/download/7053/file/2017_All_Fee_Schedules.zip,zip,2017,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2018_All_Fee_Schedules.zip,2018 All Fee Schedules,https://ahca.myflorida.com/content/download/7054/file/2018_All_Fee_Schedules.zip,zip,2018,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2019_All_Fee_Schedules.zip,2019 All Fee Schedules,https://ahca.myflorida.com/content/download/7055/file/2019_All_Fee_Schedules.zip,zip,2019,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2020_All_Fee_Schedules.zip,2020 All Fee Schedules,https://ahca.myflorida.com/content/download/7056/file/2020_All_Fee_Schedules.zip,zip,2020,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2021_All_Fee_Schedules.zip,2021 All Fee Schedules,https://ahca.myflorida.com/content/download/19974/file/2021_All_Fee_Schedules.zip,zip,2021,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2022 Fee Schedules and Billing Codes.zip,2022 All Fee Schedules,https://ahca.myflorida.com/content/download/23801/file/2022%20Fee%20Schedules%20and%20Billing%20Codes.zip,zip,2022,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2023_All_Fee_Schedules.zip,2023 All Fee Schedules,https://ahca.myflorida.com/content/download/25309/file/2023_All_Fee_Schedules.zip,zip,2023,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
2024 All Fee Schedules.zip,2024 All Fee Schedules,https://ahca.myflorida.com/content/download/27052/file/2024%20All%20Fee%20Schedules.zip,zip,2024,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
All-January-2006.zip,2006 All Fee Schedules,https://ahca.myflorida.com/content/download/7057/file/All-January-2006.zip,zip,2006,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
All_2007_Fee_Schedules.zip,2007 All Fee Schedules,https://ahca.myflorida.com/content/download/7058/file/All_2007_Fee_Schedules.zip,zip,2007,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
All_Current_2012.zip,2012 All Fee Schedules,https://ahca.myflorida.com/content/download/7059/file/All_Current_2012.zip,zip,2012,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
FS_08_081001_All_Archived_Fee_Schedules_ver1.9.zip,2008 All Fee Schedules,https://ahca.myflorida.com/content/download/7060/file/FS_08_081001_All_Archived_Fee_Schedules_ver1.9.zip,zip,2008,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
FS_10_100714_All_Archived_Fee_Schedules_ver1.0.zip,2010 All Fee Schedules,https://ahca.myflorida.com/content/download/7061/file/FS_10_100714_All_Archived_Fee_Schedules_ver1.0.zip,zip,2010,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
FS_2009_All_Fee_Schedules_ver1.0.zip,2009 All Fee Schedules,https://ahca.myflorida.com/content/download/7062/file/FS_2009_All_Fee_Schedules_ver1.0.zip,zip,2009,,Historical Medicaid Reimbursement Schedules,https://ahca.myflorida.com/medicaid/rules/historical-medicaid-reimbursement-schedules.html,fee_schedule_historical,policy
59G-1.010 Definitions Policy.pdf,Definitions,https://ahca.myflorida.com/content/download/24713/file/59G-1.010%20Definitions%20Policy.pdf,pdf,,59G-1.010,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G-1.050_General_Medicaid_Policy.pdf,General Medicaid Policy,https://ahca.myflorida.com/content/download/5921/file/59G-1.050_General_Medicaid_Policy.pdf,pdf,,59G-1.050,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G-1.058.pdf,Eligibility,https://ahca.myflorida.com/content/download/28292/file/59G-1.058.pdf,pdf,,59G-1.058,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G-1.100_Medicaid_Fair_Hearings.pdf,Florida Medicaid Fair Hearings,https://ahca.myflorida.com/content/download/5924/file/59G-1.100_Medicaid_Fair_Hearings.pdf,pdf,,59G-1.100,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1020_DEFINITION_COUNTY_OF_RESIDENCE.pdf,Definition of County of Residence,https://ahca.myflorida.com/content/download/7007/file/59G_1020_DEFINITION_COUNTY_OF_RESIDENCE.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1035_Determining_Generally_Accepted_Professional_Medical_Standards.pdf,Determining Generally Accepted Professional Medical Standards,https://ahca.myflorida.com/content/download/5926/file/59G_1035_Determining_Generally_Accepted_Professional_Medical_Standards.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1036_Clinical_Trials.pdf,Clinical Trials,https://ahca.myflorida.com/content/download/7008/file/59G_1036_Clinical_Trials.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
59G_1040_PASRR.pdf,Pre-Admission Screening and Resident Review,https://ahca.myflorida.com/content/download/5927/file/59G_1040_PASRR.pdf,pdf,,,Adopted Rules – General Policies,https://ahca.myflorida.com/medicaid/rules/adopted-rules-general-policies.html,policy_general,policy
