code,qualifier,definition,line_key,line_name,rule_ref,code_system,binding_role
H0001,,"Limited functional assessment, substance abuse",bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,hcpcs,rendered_as
H0001,HN,"Bio-psychosocial evaluation, substance abuse",bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,hcpcs,rendered_as
H0001,HO,"In-depth assessment, new patient, substance abuse",bh_assessment,Behavioral Health Assessment Services,59G-4.028,hcpcs,rendered_as
H0001,TS,"In-depth assessment, established patient, substance abuse",bh_assessment,Behavioral Health Assessment Services,59G-4.028,hcpcs,rendered_as
H0020,,Medication-assisted treatment services,bh_community_support,Behavioral Health Community Support Services,59G-4.031,hcpcs,rendered_as
H0020,,Medication-assisted treatment services,bh_therapy,Behavioral Health Therapy Services,59G-4.052,hcpcs,rendered_as
H0031,,"Limited functional assessment, mental health",bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,hcpcs,rendered_as
H0031,HN,"Bio-psychosocial Evaluation, mental health",bh_assessment,Behavioral Health Assessment Services,59G-4.028,hcpcs,rendered_as
H0031,HO,"In-depth assessment, new patient, mental health",bh_assessment,Behavioral Health Assessment Services,59G-4.028,hcpcs,rendered_as
H0031,TS,"In-depth assessment, established patient, mental health",bh_assessment,Behavioral Health Assessment Services,59G-4.028,hcpcs,rendered_as
H0032,,"Treatment plan development, new and established patient, mental health",bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,hcpcs,rendered_as
H0032,TS,"Treatment plan review, mental health",bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,hcpcs,rendered_as
H0040,,Florida Assertive Community Treatment,bh_intervention,Behavioral Health Intervention Services,59G-4.370,hcpcs,rendered_as
H0040,,Florida Assertive Community Treatment,fact,Florida Assertive Community Treatment (FACT),59G-4.127,hcpcs,rendered_as
H0046,,"Behavioral health-related medical services: verbal interaction, mental health",bh_medication_mgmt,Behavioral Health Medication Management Services,59G-4.029,hcpcs,rendered_as
H0047,,"Behavioral health-related medical services: verbal interaction, substance abuse",bh_therapy,Behavioral Health Therapy Services,59G-4.052,hcpcs,rendered_as
H0047,,"Behavioral health-related medical services: verbal interaction, substance abuse",bh_community_support,Behavioral Health Community Support Services,59G-4.031,hcpcs,rendered_as
H0048,,Behavioral health-related medical services: alcohol and other drug screening specimen,bh_therapy,Behavioral Health Therapy Services,59G-4.052,hcpcs,rendered_as
