line_key,line_name,rule_ref,authority,payment_grain,scope,code_system,code,qualifier,qualifier_means,binding_role,source_definition,adjudicated,vernacular_aliases,do_not_alias_with
behavior_analysis,Behavior Analysis Services,,AHCA 59G rule,code_modifier,serve,,,,,,,,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H0001,HO,Masters degree level,rendered_as,"In-depth assessment, new patient, substance abuse",True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H0001,TS,Follow-up service,rendered_as,"In-depth assessment, established patient, substance abuse",True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H0031,HN,Bachelors degree level,rendered_as,"Bio-psychosocial Evaluation, mental health",True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H0031,HO,Masters degree level,rendered_as,"In-depth assessment, new patient, mental health",True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H0031,TS,Follow-up service,rendered_as,"In-depth assessment, established patient, mental health",True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H2000,HO,Masters degree level,rendered_as,Psychiatric evaluation by a non- physician,True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H2000,HP,Doctoral level,rendered_as,Psychiatric evaluation by a physician,True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H2000,,,rendered_as,Psychiatric review of records,True,,
bh_assessment,Behavioral Health Assessment Services,59G-4.028,AHCA 59G rule,code_modifier,serve,hcpcs,H2010,HO,Masters degree level,rendered_as,Brief behavioral health status exam,True,,
bh_community_support,Behavioral Health Community Support Services,59G-4.031,AHCA 59G rule,code_modifier,serve,hcpcs,H0020,,,rendered_as,Medication-assisted treatment services,False,,
bh_community_support,Behavioral Health Community Support Services,59G-4.031,AHCA 59G rule,code_modifier,serve,hcpcs,H0047,,,rendered_as,"Behavioral health-related medical services: verbal interaction, substance abuse",False,,
bh_community_support,Behavioral Health Community Support Services,59G-4.031,AHCA 59G rule,code_modifier,serve,hcpcs,H0048,,,rendered_as,Behavioral health-related medical services: alcohol and other drug screening specimen,False,,
bh_community_support,Behavioral Health Community Support Services,59G-4.031,AHCA 59G rule,code_modifier,serve,hcpcs,H2010,HE,Mental health program,rendered_as,"Brief individual medical psychotherapy, mental health",False,,
bh_community_support,Behavioral Health Community Support Services,59G-4.031,AHCA 59G rule,code_modifier,serve,hcpcs,H2010,HF,Substance abuse program,rendered_as,"Brief individual medical psychotherapy, substance abuse",False,,
bh_community_support,Behavioral Health Community Support Services,59G-4.031,AHCA 59G rule,code_modifier,serve,hcpcs,H2017,,,rendered_as,Psychosocial rehabilitation services,False,,
