location_id,taxonomy_code,taxonomy_description,medicaid_approved,location_address
9dfc7345e098b14f,101Y00000X,A provider who is trained and educated in the performance of behavior health services through interpersonal communications and analysis. Training and education at the specialty level usually requires a master's degree and clinical experience and supervision for licensure or certification.,True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,101YA0400X,Definition to come...,True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,101YM0800X,Definition to come...,True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,101YP2500X,Definition to come...,True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,1041C0700X,"A social worker who holds a master's or doctoral degree in social work from an accredited school of social work in addition to at least two years of post-master's supervised experience in a clinical setting. The social worker must be licensed, certified, or registered at the clinical level in the jurisdiction of practice. A clinical social worker provides direct services, including interventions focused on interpersonal interactions, intrapsychic dynamics, and life management issues. Clinical social work services are based on bio-psychosocial perspectives. Services consist of assessment, diagnosis, treatment (including psychotherapy and counseling), client-centered advocacy, consultation, evaluation, and prevention of mental illness, emotional, or behavioral disturbances.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,106H00000X,"A marriage and family therapist is a person with a master's degree in marriage and family therapy, or a master's or doctoral degree in a related mental health field with substantially equivalent coursework in marriage and family therapy, who receives supervised clinical experience, or a person who meets the state requirements to practice as a marriage and family therapist.  A marriage and family therapist treats mental and emotional disorders within the context of marriage and family systems.   A marriage and family therapist provides mental health and counseling services to individuals, couples, families, and groups.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,163WP0808X,Definition to come...,True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,163WR0006X,"A perioperative registered nurse who works in collaboration with the surgeon and other health care team members to achieve optimal outcomes.  The RNFA has acquired the necessary knowledge, judgment, and skills specific to the expanded role of RNFA clinical practice.  Intraoperatively, the RNFA assists the surgeon.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,171M00000X,"A person who provides case management services and assists an individual in gaining access to needed medical, social, educational, and/or other services.  The person has the ability to provide an assessment and review of completed plan of care on a periodic basis.  This person is also able to take collaborative action to coordinate the services with other providers and monitor the enrollee's progress toward the cost-effective achievement of objectives specified in the plan of care.  Credentials may vary from an experience in the fields of psychology, social work, rehabilitation, nursing or a closely related human service field, to a related Assoc of Arts Degree or to nursing credentials.  Some states may require certification in case management.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,172V00000X,"Community health workers (CHW) are lay members of communities who work either for pay or as volunteers in association with the local health care system in both urban and rural environments and usually share ethnicity, language, socioeconomic status and life experiences with the community members they serve. They have been identified by many titles such as community health advisors, lay health advocates, ""promotores(as), outreach educators, community health representatives, peer health promoters, and peer health educators. CHWs offer interpretation and translation services, provide culturally appropriate health education and information, assist people in receiving the care they need, give informal counseling and guidance on health behaviors, advocate for individual and community health needs, and provide some direct services such as first aid and blood pressure screening.  Some examples of these practitioners are Community Health Aides or Practitioners established under 25 USC 1616 (l) under HHS, Indian Health Service, Public Health Service.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,207Q00000X,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,2084P0800X,"A Psychiatrist specializes in the prevention, diagnosis, and treatment of mental disorders, emotional disorders, psychotic disorders, mood disorders, anxiety disorders, substance-related disorders, sexual and gender identity disorders and adjustment disorders. Biologic, psychological, and social components of illnesses are explored and understood in treatment of the whole person. Tools used may include diagnostic laboratory tests, prescribed medications, evaluation and treatment of psychological and interpersonal problems with individuals and families, and intervention for coping with stress, crises, and other problems.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,2084P0804X,"Child & Adolescent Psychiatry is a subspecialty of psychiatry with additional skills and training in the diagnosis and treatment of developmental, behavioral, emotional, and mental disorders of childhood and adolescence.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,251S00000X,"A private or public agency usually under local government jurisdiction, responsible for assuring the delivery of community based mental health, intellectual disabilities, substance abuse and/or behavioral health services to individuals with those disabilities. Services may range from companion care, respite, transportation, community integration, crisis intervention and stabilization, supported employment, day support, prevocational services, residential support, therapeutic and supportive consultation, environmental modifications, intensive in-home therapy and day treatment, in addition to traditional mental health and behavioral treatment.",True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,261QF0400X,Definition to come...,True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,261QM0801X,Definition to come...,True,"6075 BATHEY LN, NAPLES, FL 34116"
9dfc7345e098b14f,323P00000X,"A residential treatment facility (RTF) is a facility or distinct part of a facility that provides to children and adolescents, a total, twenty-four hour, therapeutically planned group living and learning situation where distinct and individualized psychotherapeutic interventions can take place. Residential treatment is a specific level of care to be differentiated from acute, intermediate, and long-term hospital care, when the least restrictive environment is maintained to allow for normalization of the patient's surroundings. The RTF must be both physically and programmatically distinct if it is a part or subunit of a larger treatment program. An RTF is organized and professionally staffed to provide residential treatment of mental disorders to children and adolescents who have sufficient intellectual potential to respond to active treatment (that is, for whom it can reasonably be assumed that treatment of the mental disorder will result in an improved ability to function outside the RTF) for whom outpatient treatment, partial hospitalization or protected and structured environment is medically or psychologically necessary",True,"6075 BATHEY LN, NAPLES, FL 34116"
